Sno,TV,radio,newspaper,sales
1,219,NA,34.5,48.9
2,230.1,37.8,69.2,22.1
3,44.5,39.3,45.1,10.4
4,17.2,45.9,69.3,9.3
5,151.5,41.3,58.5,18.5
6,180.8,10.8,58.4,12.9
7,8.7,48.9,75,7.2
8,57.5,32.8,23.5,11.8
9,120.2,19.6,11.6,13.2
10,8.6,2.1,1,4.8
11,199.8,2.6,21.2,10.6
12,66.1,5.8,24.2,8.6
13,214.7,24,4,17.4
14,23.8,35.1,65.9,9.2
15,97.5,7.6,7.2,9.7
16,204.1,32.9,46,19
17,195.4,47.7,52.9,22.4
18,67.8,36.6,114,12.5
19,281.4,39.6,55.8,24.4
20,69.2,20.5,18.3,11.3
21,147.3,23.9,19.1,14.6
22,218.4,27.7,53.4,18
23,237.4,5.1,23.5,12.5
24,13.2,15.9,49.6,5.6
25,228.3,16.9,26.2,15.5
26,62.3,12.6,18.3,9.7
27,262.9,3.5,19.5,12
28,142.9,29.3,12.6,15
29,240.1,16.7,22.9,15.9
30,248.8,27.1,22.9,18.9
31,70.6,16,40.8,10.5
32,292.9,28.3,43.2,21.4
33,112.9,17.4,38.6,11.9
34,97.2,1.5,30,9.6
35,265.6,20,0.3,17.4
36,95.7,1.4,7.4,9.5
37,290.7,4.1,8.5,12.8
38,266.9,43.8,5,25.4
39,74.7,49.4,45.7,14.7
40,43.1,26.7,35.1,10.1
41,228,37.7,32,21.5
42,202.5,22.3,31.6,16.6
43,177,33.4,38.7,17.1
44,293.6,27.7,1.8,20.7
45,206.9,8.4,26.4,12.9
46,25.1,25.7,43.3,8.5
47,175.1,22.5,31.5,14.9
48,89.7,9.9,35.7,10.6
49,239.9,41.5,18.5,23.2
50,227.2,15.8,49.9,14.8
51,66.9,11.7,36.8,9.7
52,199.8,3.1,34.6,11.4
53,100.4,9.6,3.6,10.7
54,216.4,41.7,39.6,22.6
55,182.6,46.2,58.7,21.2
56,262.7,28.8,15.9,20.2
57,198.9,49.4,60,23.7
58,7.3,28.1,41.4,5.5
59,136.2,19.2,16.6,13.2
60,210.8,49.6,37.7,23.8
61,210.7,29.5,9.3,18.4
62,53.5,2,21.4,8.1
63,261.3,42.7,54.7,24.2
64,239.3,15.5,27.3,15.7
65,102.7,29.6,8.4,14
66,131.1,42.8,28.9,18
67,69,9.3,0.9,9.3
68,31.5,24.6,2.2,9.5
